state,x,y
Amazonas,-392.0,278.0
Para,-69.0,242.0
Roraima,-217.0,427.0
Rondonia,-271.0,92.0
Acre,-471.0,125.0
Amapa,20.0,424.0
Maranhao,177.0,243.0
Piaui,246.0,168.0
Ceara,336.0,268.0
Rio Grande do Norte,420.0,219.0
Paraiba,409.0,181.0
Pernambuco,361.0,153.0
Alagoas,416.0,123.0
Sergipe,422.0,89.0
Bahia,216.0,63.0
Tocantins,108.0,108.0
Goias,47.0,-64.0
Espirito Santo,329.0,-131.0
Rio de Janeiro,183.0,-122.0
Sao Paulo,273.0,-215.0
Minas Gerais,93.0,-190.0
Mato Grosso,-138.0,62.0
Mato Grosso do Sul,-77.0,-136.0
Parana,2.0,-256.0
Santa Catarina,78.0,-329.0
Rio Grande do Sul,-9.0,-400.0
Distrito Federal,147.0,-35.0




















